art,per,gname,mname,fname
http://scholars.cornell.edu/individual/UR-310292,http://scholars.cornell.edu/individual/dah5,David,A,Hammer
http://scholars.cornell.edu/individual/UR-250398,http://scholars.cornell.edu/individual/ldb7,Larry,Douglas,Brown
http://scholars.cornell.edu/individual/UR-454706,http://scholars.cornell.edu/individual/mw46,Michael,,Waldman
http://scholars.cornell.edu/individual/UR-417322,http://scholars.cornell.edu/individual/ra477,Ricardo,,Alvarez Daziano
http://scholars.cornell.edu/individual/UR-417990,http://scholars.cornell.edu/individual/jd694,Jiangang,,Dai
http://scholars.cornell.edu/individual/UR-433667,http://scholars.cornell.edu/individual/lae37,Lara,A,Estroff
http://scholars.cornell.edu/individual/UR-297358,http://scholars.cornell.edu/individual/mgs22,Michael,G,Spencer
http://scholars.cornell.edu/individual/UR-361829,http://scholars.cornell.edu/individual/crp10,Clifford,Raymond,Pollock
http://scholars.cornell.edu/individual/UR-322718,http://scholars.cornell.edu/individual/ylj2,Yong,L,Joo
http://scholars.cornell.edu/individual/UR-302766,http://scholars.cornell.edu/individual/jmg18,James,Michael,Gossett
http://scholars.cornell.edu/individual/UR-361718,http://scholars.cornell.edu/individual/dah5,David,A,Hammer
http://scholars.cornell.edu/individual/UR-299324,http://scholars.cornell.edu/individual/epg2,Emmanuel,P,Giannelis
http://scholars.cornell.edu/individual/UR-350875,http://scholars.cornell.edu/individual/lwl3,Leonard,William,Lion
http://scholars.cornell.edu/individual/UR-350875,http://scholars.cornell.edu/individual/mls50,Michael,Louis,Shuler
http://scholars.cornell.edu/individual/UR-182191,http://scholars.cornell.edu/individual/al274,Amit,,Lal
http://scholars.cornell.edu/individual/UR-442847,http://scholars.cornell.edu/individual/nmm63,Natalie,M,Mahowald
http://scholars.cornell.edu/individual/UR-367387,http://scholars.cornell.edu/individual/mot1,Michael,Olgar,Thompson
http://scholars.cornell.edu/individual/UR-287823,http://scholars.cornell.edu/individual/mls50,Michael,Louis,Shuler
http://scholars.cornell.edu/individual/UR-416929,http://scholars.cornell.edu/individual/sbw11,Stephen,B,Wicker
http://scholars.cornell.edu/individual/UR-180343,http://scholars.cornell.edu/individual/dlk15,Donald,L,Koch
http://scholars.cornell.edu/individual/UR-86391,http://scholars.cornell.edu/individual/rgh27,Richard,G,Hennig
http://scholars.cornell.edu/individual/UR-320141,http://scholars.cornell.edu/individual/atz2,Alan,Taylor,Zehnder
http://scholars.cornell.edu/individual/UR-370174,http://scholars.cornell.edu/individual/dbw59,Dawn,B,Woodard
http://scholars.cornell.edu/individual/UR-442387,http://scholars.cornell.edu/individual/dsk262,David,Simon,Kammer
http://scholars.cornell.edu/individual/UR-19467,http://scholars.cornell.edu/individual/cb535,Christopher,,Batten
http://scholars.cornell.edu/individual/UR-252560,http://scholars.cornell.edu/individual/jab16,Joseph,Arthur,Burns
http://scholars.cornell.edu/individual/UR-287818,http://scholars.cornell.edu/individual/mls50,Michael,Louis,Shuler
http://scholars.cornell.edu/individual/UR-367787,http://scholars.cornell.edu/individual/lt35,Lang,,Tong
http://scholars.cornell.edu/individual/UR-92589,http://scholars.cornell.edu/individual/lae37,Lara,A,Estroff
http://scholars.cornell.edu/individual/UR-134442,http://scholars.cornell.edu/individual/jmg18,James,Michael,Gossett
http://scholars.cornell.edu/individual/UR-367359,http://scholars.cornell.edu/individual/mot1,Michael,Olgar,Thompson
http://scholars.cornell.edu/individual/UR-453667,http://scholars.cornell.edu/individual/wbb1,Warren,B,Bailey
http://scholars.cornell.edu/individual/UR-78080,http://scholars.cornell.edu/individual/jd694,Jiangang,,Dai
http://scholars.cornell.edu/individual/UR-339574,http://scholars.cornell.edu/individual/fww1,Frank,William,Wise
http://scholars.cornell.edu/individual/UR-453916,http://scholars.cornell.edu/individual/vrr2,Vithala,R,Rao
http://scholars.cornell.edu/individual/UR-452503,http://scholars.cornell.edu/individual/vg77,Vishal,,Gaur
http://scholars.cornell.edu/individual/UR-417035,http://scholars.cornell.edu/individual/cw26,Charles,Harvey Kaye,Williamson
http://scholars.cornell.edu/individual/UR-367746,http://scholars.cornell.edu/individual/lt35,Lang,,Tong
http://scholars.cornell.edu/individual/UR-361043,http://scholars.cornell.edu/individual/wlo1,William,Lee,Olbricht
http://scholars.cornell.edu/individual/UR-454256,http://scholars.cornell.edu/individual/yc659,Ya-Ru,,Chen
http://scholars.cornell.edu/individual/UR-367136,http://scholars.cornell.edu/individual/jwt54,Jefferson,William,Tester
http://scholars.cornell.edu/individual/UR-174730,http://scholars.cornell.edu/individual/gs18,Gennady,,Samorodnitsky
http://scholars.cornell.edu/individual/UR-417835,http://scholars.cornell.edu/individual/dap43,David,A,Putnam
http://scholars.cornell.edu/individual/UR-416816,http://scholars.cornell.edu/individual/sbp2,Stephen,Bailey,Pope
http://scholars.cornell.edu/individual/UR-448862,http://scholars.cornell.edu/individual/vk24,Vrinda,,Kadiyali
http://scholars.cornell.edu/individual/UR-369629,http://scholars.cornell.edu/individual/wmw4,William,M,White
http://scholars.cornell.edu/individual/UR-418139,http://scholars.cornell.edu/individual/nmm63,Natalie,M,Mahowald
http://scholars.cornell.edu/individual/UR-417394,http://scholars.cornell.edu/individual/st222,Sandip,,Tiwari
http://scholars.cornell.edu/individual/UR-416362,http://scholars.cornell.edu/individual/cko3,Christopher,Kemper,Ober
http://scholars.cornell.edu/individual/UR-418047,http://scholars.cornell.edu/individual/ubw1,Ulrich,B,Wiesner
http://scholars.cornell.edu/individual/UR-271242,http://scholars.cornell.edu/individual/hgc1,Harold,G,Craighead
http://scholars.cornell.edu/individual/UR-417105,http://scholars.cornell.edu/individual/ds636,Darrell,,Schlom
http://scholars.cornell.edu/individual/UR-448613,http://scholars.cornell.edu/individual/vg77,Vishal,,Gaur
http://scholars.cornell.edu/individual/UR-417665,http://scholars.cornell.edu/individual/lt35,Lang,,Tong
http://scholars.cornell.edu/individual/UR-367777,http://scholars.cornell.edu/individual/lt35,Lang,,Tong
http://scholars.cornell.edu/individual/UR-252542,http://scholars.cornell.edu/individual/jab16,Joseph,Arthur,Burns
http://scholars.cornell.edu/individual/UR-367598,http://scholars.cornell.edu/individual/st222,Sandip,,Tiwari
http://scholars.cornell.edu/individual/UR-272462,http://scholars.cornell.edu/individual/dr24,David,,Ruppert
http://scholars.cornell.edu/individual/UR-394888,http://scholars.cornell.edu/individual/rbl62,Rowena,B,Lohman
http://scholars.cornell.edu/individual/UR-453782,http://scholars.cornell.edu/individual/vg77,Vishal,,Gaur
http://scholars.cornell.edu/individual/UR-417963,http://scholars.cornell.edu/individual/jd694,Jiangang,,Dai
http://scholars.cornell.edu/individual/UR-416146,http://scholars.cornell.edu/individual/nmm63,Natalie,M,Mahowald
http://scholars.cornell.edu/individual/UR-417887,http://scholars.cornell.edu/individual/kch7,Kenneth,Clark,Hover
http://scholars.cornell.edu/individual/UR-28092,http://scholars.cornell.edu/individual/fww1,Frank,William,Wise
http://scholars.cornell.edu/individual/UR-369063,http://scholars.cornell.edu/individual/zw24,Zheng,Jane,Wang
http://scholars.cornell.edu/individual/UR-418449,http://scholars.cornell.edu/individual/emf4,Elizabeth,,Fisher-York
http://scholars.cornell.edu/individual/UR-441397,http://scholars.cornell.edu/individual/gpb1,Gregory,Paul,Bewley
http://scholars.cornell.edu/individual/UR-276435,http://scholars.cornell.edu/individual/md255,Matthew,,DeLisa
http://scholars.cornell.edu/individual/UR-98678,http://scholars.cornell.edu/individual/lp26,Lois,,Pollack
http://scholars.cornell.edu/individual/UR-226130,http://scholars.cornell.edu/individual/mck13,Michael,Charles,Kelley
http://scholars.cornell.edu/individual/UR-369217,http://scholars.cornell.edu/individual/dhw52,Derek,H,Warner
